Elevation,North,South,Total
4174,42100,116100,158200
4174.1,43217.6,116100,159317.6
4174.2,48297.6,116100,164397.6
4174.3,53377.6,125173.8,178551.4
4174.4,58457.6,137953.8,196411.4
4174.5,63537.6,150733.8,214271.4
4174.6,68749.6,163513.8,232263.4
4174.7,74429.6,176293.8,250723.4
4174.8,80109.6,189627.6,269737.2
4174.9,85789.6,203187.6,288977.2
4175,91469.6,216747.6,308217.2
4175.1,97277.2,230307.6,327584.8
4175.2,103537.2,243867.6,347404.8
4175.3,109797.2,257981.4,367778.6
4175.4,116057.2,272321.4,388378.6
4175.5,122317.2,286661.4,408978.6
4175.6,128704.8,301001.4,429706.2
4175.7,135544.8,315341.4,450886.2
4175.8,142384.8,330235.2,472620
4175.9,149224.8,345355.2,494580
4176,156064.8,360475.2,516540
4176.1,163032.4,375595.2,538627.6
4176.2,170452.4,390715.2,561167.6
4176.3,177872.4,406389,584261.4
4176.4,185292.4,422289,607581.4
4176.5,192712.4,438189,630901.4
4176.6,200260,454089,654349
4176.7,208260,469989,678249
4176.8,216260,486442.8,702702.8
4176.9,224260,503122.8,727382.8
4177,232260,519802.8,752062.8
4177.1,240387.6,536482.8,776870.4
4177.2,248967.6,553162.8,802130.4
4177.3,257547.6,570396.6,827944.2
4177.4,266127.6,587856.6,853984.2
4177.5,274707.6,605316.6,880024.2
4177.6,283415.2,622776.6,906191.8
4177.7,292575.2,640236.6,932811.8
4177.8,301735.2,658250.4,959985.6
4177.9,310895.2,676490.4,987385.6
4178,320055.2,694730.4,1014785.6
4178.1,329342.8,712970.4,1042313.2
4178.2,339082.8,731210.4,1070293.2
4178.3,348822.8,750004.2,1098827
4178.4,358562.8,769024.2,1127587
4178.5,368302.8,788044.2,1156347
4178.6,378170.4,807064.2,1185234.6
4178.7,388490.4,826084.2,1214574.6
4178.8,398810.4,845658,1244468.4
4178.9,409130.4,865458,1274588.4
4179,419450.4,885258,1304708.4
4179.1,429898,905058,1334956
4179.2,440798,924858,1365656
4179.3,451698,945211.8,1396909.8
4179.4,462598,965791.8,1428389.8
4179.5,473498,986371.8,1459869.8
4179.6,484525.6,1006951.8,1491477.4
4179.7,496005.6,1027531.8,1523537.4
4179.8,507485.6,1048665.6,1556151.2
4179.9,518965.6,1070025.6,1588991.2
4180,527003.688,1111872.812,1638876.5
4180.1,534132.324,1153474.424,1687606.748
4180.2,545056.524,1174588.824,1719645.348
4180.3,555980.724,1196026.984,1752007.708
4180.4,566904.924,1217597.384,1784502.308
4180.5,577829.124,1239167.784,1816996.908
4180.6,588843.128,1260738.184,1849581.312
4180.7,600175.528,1282308.584,1882484.112
4180.8,611507.928,1304297.032,1915804.96
4180.9,622840.328,1326456.232,1949296.56
4181,634172.728,1348615.432,1982788.16
4181.1,645629.34,1370774.632,2016403.972
4181.2,657526.34,1392933.832,2050460.172
4181.3,669423.34,1415626.384,2085049.724
4181.4,681320.34,1438536.784,2119857.124
4181.5,693217.34,1461447.184,2154664.524
4181.6,705224.076,1484357.584,2189581.66
4181.7,717619.876,1507267.984,2224887.86
4181.8,730015.676,1530485.672,2260501.348
4181.9,742411.476,1553828.872,2296240.348
4182,754807.276,1577172.072,2331979.348
4182.1,767328.608,1600515.272,2367843.88
4182.2,780295.008,1623858.472,2404153.48
4182.3,793261.408,1647761.578,2441022.986
4182.4,806227.808,1671893.378,2478121.186
4182.5,819194.208,1696025.178,2515219.386
4182.6,832275.844,1720156.978,2552432.822
4182.7,845766.044,1744288.778,2590054.822
4182.8,859256.244,1768772.88,2628029.124
4182.9,872746.444,1793400.88,2666147.324
4183,886236.644,1818028.88,2704265.524
4183.1,899854.356,1842656.88,2742511.236
4183.2,913924.156,1867284.88,2781209.036
4183.3,927993.956,1892351.66,2820345.616
4183.4,942063.756,1917597.66,2859661.416
4183.5,956133.556,1942843.66,2898977.216
4183.6,970308.34,1968089.66,2938398
4183.7,984855.34,1993335.66,2978191
4183.8,999402.34,2019092.292,3018494.632
4183.9,1013949.34,2045057.492,3059006.832
4184,1028496.34,2071022.692,3099519.032
4184.1,1043200.42,2096987.892,3140188.312
4184.2,1058461.42,2122953.092,3181414.512
4184.3,1073722.42,2149219.758,3222942.178
4184.4,1088983.42,2175609.558,3264592.978
4184.5,1104244.42,2201999.358,3306243.778
4184.6,1119605.3,2228389.158,3347994.458
4184.7,1135320.3,2254778.958,3390099.258
4184.8,1151035.3,2281690.182,3432725.482
4184.9,1166750.3,2308814.382,3475564.682
4185,1182465.3,2335938.582,3518403.882
4185.1,1198592.712,2363062.782,3561655.494
4185.2,1216182.312,2390186.982,3606369.294
4185.3,1233771.912,2417602.708,3651374.62
4185.4,1251361.512,2445137.508,3696499.02
4185.5,1268951.112,2472672.308,3741623.42
4185.6,1286040.08,2500207.108,3786247.188
4185.7,1301354.08,2527741.908,3829095.988
4185.8,1316668.08,2555658.688,3872326.768
4185.9,1331982.08,2583731.488,3915713.568
4186,1347296.08,2611804.288,3959100.368
4186.1,1363062.488,2639877.088,4002939.576
4186.2,1380432.888,2667949.888,4048382.776
4186.3,1397803.288,2696579.47,4094382.758
4186.4,1415173.688,2725436.47,4140610.158
4186.5,1432544.088,2754293.47,4186837.558
4186.6,1450007.196,2783150.47,4233157.666
4186.7,1467798.996,2812007.47,4279806.466
4186.8,1485590.796,2841094.936,4326685.732
4186.9,1503382.596,2870276.536,4373659.132
4187,1521174.396,2899458.136,4420632.532
4187.1,1539068.54,2928639.736,4467708.276
4187.2,1557325.54,2957821.336,4515146.876
4187.3,1575582.54,2987520.384,4563102.924
4187.4,1593839.54,3017430.784,4611270.324
4187.5,1612096.54,3047341.184,4659437.724
4187.6,1630446.82,3077251.584,4707698.404
4187.7,1649127.82,3107161.984,4756289.804
4187.8,1667808.82,3137327.842,4805136.662
4187.9,1686489.82,3167598.042,4854087.862
4188,1705170.82,3197868.242,4903039.062
4188.1,1723957.288,3228138.442,4952095.73
4188.2,1743117.688,3258408.642,5001526.33
4188.3,1762278.088,3289131.964,5051410.052
4188.4,1781438.488,3320040.364,5101478.852
4188.5,1800598.888,3350948.764,5151547.652
4188.6,1819847.772,3381857.164,5201704.936
4188.7,1839410.372,3412765.564,5252175.936
4188.8,1858972.972,3444200.358,5303173.33
4188.9,1878535.572,3475850.158,5354385.73
4189,1898098.172,3507499.958,5405598.13
4189.1,1917767.208,3539149.758,5456916.966
4189.2,1937813.608,3570799.558,5508613.166
4189.3,1957860.008,3602674.286,5560534.294
4189.4,1977906.408,3634640.886,5612547.294
4189.5,1997952.808,3666607.486,5664560.294
4189.6,2018089.848,3698574.086,5716663.934
4189.7,2038548.248,3730540.686,5769088.934
4189.8,2059006.648,3762992.926,5821999.574
4189.9,2079465.048,3795643.526,5875108.574
4190,2099923.448,3828294.126,5928217.574
4190.1,2120474.82,3860944.726,5981419.546
4190.2,2141355.82,3893595.326,6034951.146
4190.3,2162236.82,3926587.578,6088824.398
4190.4,2183117.82,3959719.378,6142837.198
4190.5,2203998.82,3992851.178,6196849.998
4190.6,2224957.656,4025982.978,6250940.634
4190.7,2246192.456,4059114.778,6305307.234
4190.8,2267427.256,4092662.638,6360089.894
4190.9,2288662.056,4126380.438,6415042.494
4191,2309896.856,4160098.238,6469995.094
4191.1,2331207.204,4193816.038,6525023.242
4191.2,2352785.404,4227533.838,6580319.242
4191.3,2374363.604,4261872.178,6636235.782
4191.4,2395941.804,4296463.978,6692405.782
4191.5,2417520.004,4331055.778,6748575.782
4191.6,2439169.132,4365647.578,6804816.71
4191.7,2461069.732,4400239.378,6861309.11
4191.8,2482970.332,4435065.478,6918035.81
4191.9,2504870.932,4469987.278,6974858.21
4192,2526771.532,4504909.078,7031680.61
4192.1,2548745.964,4539830.878,7088576.842
4192.2,2570982.164,4574752.678,7145734.842
4192.3,2593218.364,4610355.794,7203574.158
4192.4,2615454.564,4646237.194,7261691.758
4192.5,2637690.764,4682118.594,7319809.358
4192.6,2660001.94,4717999.994,7378001.934
4192.7,2682578.94,4753881.394,7436460.334
4192.8,2705155.94,4789992.408,7495148.348
4192.9,2727732.94,4826197.208,7553930.148
4193,2750309.94,4862402.008,7612711.948
4193.1,2772965.128,4898606.808,7671571.936
4193.2,2795897.528,4934811.608,7730709.136
4193.3,2818829.928,4971416.706,7790246.634
4193.4,2841762.328,5008185.306,7849947.634
4193.5,2864694.728,5044953.906,7909648.634
4193.6,2887703.952,5081722.506,7969426.458
4193.7,2910985.552,5118491.106,8029476.658
4193.8,2934267.152,5155765.936,8090033.088
4193.9,2957548.752,5193247.536,8150796.288
4194,2980830.352,5230729.136,8211559.488
4194.1,3004211.216,5268210.736,8272421.952
4194.2,3027944.016,5305692.336,8333636.352
4194.3,3051676.816,5343359.672,8395036.488
4194.4,3075409.616,5381102.872,8456512.488
4194.5,3099142.416,5418846.072,8517988.488
4194.6,3122979.98,5456589.272,8579569.252
4194.7,3147188.98,5494332.472,8641521.452
4194.8,3171397.98,5532610.444,8704008.424
4194.9,3195606.98,5571106.844,8766713.824
4195,3219815.98,5609603.244,8829419.224
4195.1,3244139.6,5648099.644,8892239.244
4195.2,3268869.6,5686596.044,8955465.644
4195.3,3293599.6,5725285.99,9018885.59
4195.4,3318329.6,5764054.99,9082384.59
4195.5,3343059.6,5802823.99,9145883.59
4195.6,3367887.808,5841592.99,9209480.798
4195.7,3393064.208,5880361.99,9273426.198
4195.8,3418240.608,5919509.42,9337750.028
4195.9,3443417.008,5958811.42,9402228.428
4196,3468593.408,5998113.42,9466706.828
4196.1,3493890.236,6037415.42,9531305.656
4196.2,3519614.036,6076717.42,9596331.456
4196.3,3545337.836,6116736.52,9662074.356
4196.4,3571061.636,6157048.52,9728110.156
4196.5,3596785.436,6197360.52,9794145.956
4196.6,3622605.64,6237672.52,9860278.16
4196.7,3648767.64,6277984.52,9926752.16
4196.8,3674929.64,6318484.954,9993414.594
4196.9,3701091.64,6359062.354,10060153.99
4197,3727253.64,6399639.754,10126893.39
4197.1,3753531.228,6440217.154,10193748.38
4197.2,3780218.628,6480794.554,10261013.18
4197.3,3806906.028,6521983.548,10328889.58
4197.4,3833593.428,6563422.348,10397015.78
4197.5,3860280.828,6604861.148,10465141.98
4197.6,3887074.004,6646299.948,10533373.95
4197.7,3914242.204,6687738.748,10601980.95
4197.8,3941410.404,6729416.392,10670826.8
4197.9,3968578.604,6771191.592,10739770.2
4198,3995746.804,6812966.792,10808713.6
4198.1,4023302.952,6854741.992,10878044.94
4198.2,4052234.552,6896517.192,10948751.74
4198.3,4081166.152,6939526.656,11020692.81
4198.4,4110097.752,6983040.256,11093138.01
4198.5,4139029.352,7026553.856,11165583.21
4198.6,4168110.068,7070067.456,11238177.52
4198.7,4197719.468,7113581.056,11311300.52
4198.8,4227328.868,7157807.78,11385136.65
4198.9,4256938.268,7202325.78,11459264.05
4199,4286547.668,7246843.78,11533391.45
4199.1,4316468.5,7291361.78,11607830.28
4199.2,4347493.5,7335879.78,11683373.28
4199.3,4378518.5,7380774.222,11759292.72
4199.4,4409543.5,7425822.422,11835365.92
4199.5,4440568.5,7470870.622,11911439.12
4199.6,4471757.62,7515918.822,11987676.44
4199.7,4503528.62,7560967.022,12064495.64
4199.8,4535299.62,7606733.458,12142033.08
4199.9,4567070.62,7652793.258,12219863.88
4200,4598841.62,7698853.058,12297694.68
4200.1,4630936.064,7744912.858,12375848.92
4200.2,4664177.264,7790972.658,12455149.92
4200.3,4697418.464,7837432.472,12534850.94
4200.4,4730659.664,7884055.672,12614715.34
4200.5,4763900.864,7930678.872,12694579.74
4200.6,4797279.784,7977302.072,12774581.86
4200.7,4831146.984,8023925.272,12855072.26
4200.8,4865014.184,8070926.902,12935941.09
4200.9,4898881.384,8118083.102,13016964.49
4201,4932748.584,8165239.302,13097987.89
4201.1,4966917.404,8212395.502,13179312.91
4201.2,5002155.604,8259551.702,13261707.31
4201.3,5037393.804,8307531.36,13344925.16
4201.4,5072632.004,8355847.36,13428479.36
4201.5,5107870.204,8404163.36,13512033.56
4201.6,5143300.068,8452479.36,13595779.43
4201.7,5179409.468,8500795.36,13680204.83
4201.8,5215518.868,8549295.25,13764814.12
4201.9,5251628.268,8597870.25,13849498.52
4202,5287737.668,8646445.25,13934182.92
4202.1,5324128.932,8695020.25,14019149.18
4202.2,5361519.532,8743595.25,14105114.78
4202.3,5398910.132,8792976.81,14191886.94
4202.4,5436300.732,8842687.81,14278988.54
4202.5,5473691.332,8892398.81,14366090.14
4202.6,5511237.824,8942109.81,14453347.63
4202.7,5549337.024,8991820.81,14541157.83
4202.8,5587436.224,9041891.638,14629327.86
4202.9,5625535.424,9092109.438,14717644.86
4203,5663634.624,9142327.238,14805961.86
4203.1,5701733.824,9192545.038,14894278.86
4203.2,5739833.024,9242762.838,14982595.86
4203.3,5777932.224,9292980.638,15070912.86
4203.4,5816031.424,9343198.438,15159229.86
4203.5,5854931.424,9411618.438,15266549.86
4203.6,5893998.624,9480038.438,15374037.06
4203.7,5933658.624,9548458.438,15482117.06
4203.8,5973318.624,9617844.038,15591162.66
4203.9,6012978.624,9687624.038,15700602.66
4204,6052638.624,9757404.038,15810042.66
4204.1,6092465.824,9827184.038,15919649.86
4204.2,6132885.824,9896964.038,16029849.86
4204.3,6173305.824,9967723.838,16141029.66
4204.4,6213725.824,10038883.84,16252609.66
4204.5,6254145.824,10110043.84,16364189.66
4204.6,6294733.024,10181203.84,16475936.86
4204.7,6335913.024,10252363.84,16588276.86
4204.8,6377093.024,10324489.44,16701582.46
4204.9,6418273.024,10397009.44,16815282.46
4205,6459453.024,10469529.44,16928982.46
4205.1,6500800.224,10542049.44,17042849.66
4205.2,6542740.224,10614569.44,17157309.66
4205.3,6584680.224,10688055.04,17272735.26
4205.4,6626620.224,10761935.04,17388555.26
4205.5,6668560.224,10835815.04,17504375.26
4205.6,6710667.424,10909695.04,17620362.46
4205.7,6753367.424,10983575.04,17736942.46
4205.8,6796067.424,11058420.64,17854488.06
4205.9,6838767.424,11133660.64,17972428.06
4206,6881467.424,11208900.64,18090368.06
4206.1,6924334.624,11284140.64,18208475.26
4206.2,6967794.624,11359380.64,18327175.26
4206.3,7011254.624,11435586.24,18446840.86
4206.4,7054714.624,11512186.24,18566900.86
4206.5,7098174.624,11588786.24,18686960.86
4206.6,7141801.824,11665386.24,18807188.06
4206.7,7186021.824,11741986.24,18928008.06
4206.8,7230241.824,11819566.04,19049807.86
4206.9,7274461.824,11897546.04,19172007.86
4207,7318681.824,11975526.04,19294207.86
4207.1,7363069.024,12053506.04,19416575.06
4207.2,7408049.024,12131486.04,19539535.06
4207.3,7453029.024,12210374.84,19663403.86
4207.4,7498009.024,12289634.84,19787643.86
4207.5,7542989.024,12368894.84,19911883.86
4207.6,7588136.224,12448154.84,20036291.06
4207.7,7633876.224,12527414.84,20161291.06
4207.8,7679616.224,12607526.84,20287143.06
4207.9,7725356.224,12687986.84,20413343.06
4208,7771096.224,12768446.84,20539543.06
4208.1,7816985.824,12848906.84,20665892.66
4208.2,7863405.824,12929366.84,20792772.66
4208.3,7909825.824,13010622.04,20920447.86
4208.4,7956245.824,13092202.04,21048447.86
4208.5,8002665.824,13173782.04,21176447.86
4208.6,8049217.824,13255362.04,21304579.86
4208.7,8096237.824,13336942.04,21433179.86
4208.8,8143257.824,13419274.64,21562532.46
4208.9,8190277.824,13501914.64,21692192.46
4209,8237297.824,13584554.64,21821852.46
4209.1,8284454.224,13667194.64,21951648.86
4209.2,8332094.224,13749834.64,22081928.86
4209.3,8379734.224,13833227.24,22212961.46
4209.4,8427374.224,13916927.24,22344301.46
4209.5,8475014.224,14000627.24,22475641.46
4209.6,8522790.624,14084327.24,22607117.86
4209.7,8571050.624,14168027.24,22739077.86
4209.8,8619310.624,14252465.64,22871776.26
4209.9,8667570.624,14337205.64,23004776.26
4210,8715830.624,14421945.64,23137776.26
4210.1,8764222.624,14506685.64,23270908.26
4210.2,8813082.624,14591425.64,23404508.26
4210.3,8861942.624,14676918.24,23538860.86
4210.4,8910802.624,14762718.24,23673520.86
4210.5,8959662.624,14848518.24,23808180.86
4210.6,9008659.024,14934318.24,23942977.26
4210.7,9058139.024,15020118.24,24078257.26
4210.8,9107619.024,15106670.84,24214289.86
4210.9,9157099.024,15193530.84,24350629.86
4211,9206579.024,15280390.84,24486969.86
4211.1,9256191.024,15367250.84,24623441.86
4211.2,9306271.024,15454110.84,24760381.86
4211.3,9356351.024,15542632.24,24898983.26
4211.4,9406431.024,15631832.24,25038263.26
4211.5,9456511.024,15721032.24,25177543.26
4211.6,9506727.424,15810232.24,25316959.66
4211.7,9557427.424,15899432.24,25456859.66
4211.8,9608127.424,15991202.44,25599329.86
4211.9,9658827.424,16084022.44,25742849.86
4212,9709527.424,16176842.44,25886369.86
4212.1,9760333.024,16269662.44,26029995.46
4212.2,9811513.024,16362482.44,26173995.46
4212.3,9862693.024,16457375.64,26320068.66
4212.4,9913873.024,16553115.64,26466988.66
4212.5,9965053.024,16648855.64,26613908.66
4212.6,10016312.22,16744595.64,26760907.86
4212.7,10067852.22,16840335.64,26908187.86
4212.8,10119392.22,16937197.44,27056589.66
4212.9,10170932.22,17034517.44,27205449.66
4213,10222472.22,17131837.44,27354309.66
4213.1,10274095.82,17229157.44,27503253.26
4213.2,10326015.82,17326477.44,27652493.26
4213.3,10377935.82,17424436.44,27802372.26
4213.4,10429855.82,17522656.44,27952512.26
4213.5,10481775.82,17620876.44,28102652.26
4213.6,10533775.02,17719096.44,28252871.46
4213.7,10586055.02,17817316.44,28403371.46
4213.8,10638335.02,17916189.64,28554524.66
4213.9,10690615.02,18015329.64,28705944.66
4214,10742895.02,18114469.64,28857364.66
4214.1,10795254.22,18213609.64,29008863.86
4214.2,10847894.22,18312749.64,29160643.86
4214.3,10900534.22,18412542.84,29313077.06
4214.4,10953174.22,18512602.84,29465777.06
4214.5,11005814.22,18612662.84,29618477.06
4214.6,11058533.42,18712722.84,29771256.26
4214.7,11111533.42,18812782.84,29924316.26
4214.8,11164533.42,18913496.04,30078029.46
4214.9,11217533.42,19014476.04,30232009.46
4215,11270533.42,19115456.04,30385989.46
4215.1,11323784.22,19216436.04,30540220.26
4215.2,11377924.22,19317416.04,30695340.26
4215.3,11432064.22,19418978.24,30851042.46
4215.4,11486204.22,19520778.24,31006982.46
4215.5,11540344.22,19622578.24,31162922.46
4215.6,11594933.02,19724378.24,31319311.26
4215.7,11651113.02,19826178.24,31477291.26
4215.8,11707293.02,19928489.44,31635782.46
4215.9,11763473.02,20031009.44,31794482.46
4216,11819653.02,20133529.44,31953182.46
4216.1,11876330.22,20236049.44,32112379.66
4216.2,11934770.22,20338569.44,32273339.66
4216.3,11993210.22,20441600.64,32434810.86
4216.4,12051650.22,20544840.64,32596490.86
4216.5,12110090.22,20648080.64,32758170.86
4216.6,12169031.82,20751320.64,32920352.46
4216.7,12229751.82,20854560.64,33084312.46
4216.8,12290471.82,20958326.04,33248797.86
4216.9,12351191.82,21062306.04,33413497.86
4217,12411911.82,21166286.04,33578197.86
4217.1,12473076.22,21270266.04,33743342.26
4217.2,12535816.22,21374246.04,33910062.26
4217.3,12598556.22,21478737.24,34077293.46
4217.4,12661296.22,21583437.24,34244733.46
4217.5,12724036.22,21688137.24,34412173.46
4217.6,12799809.02,21792837.24,34592646.26
4217.7,12921789.02,21897537.24,34819326.26
4217.8,13043769.02,22002762.64,35046531.66
4217.9,13165749.02,22108202.64,35273951.66
4218,13287729.02,22213642.64,35501371.66
4218.1,13401670.22,22319082.64,35720752.86
4218.2,13487110.22,22424522.64,35911632.86
4218.3,13572550.22,22530473.84,36103024.06
4218.4,13657990.22,22636633.84,36294624.06
4218.5,13743430.22,22742793.84,36486224.06
4218.6,13830199.02,22848953.84,36679152.86
4218.7,13921679.02,22955113.84,36876792.86
4218.8,14013159.02,23061799.24,37074958.26
4218.9,14104639.02,23168699.24,37273338.26
4219,14196119.02,23275599.24,37471718.26
4219.1,14287599.02,23382499.24,37670098.26
4219.2,14379079.02,23489399.24,37868478.26
4219.3,14470559.02,23596299.24,38066858.26
4219.4,14562039.02,23703199.24,38265238.26
4219.5,14653519.02,23810099.24,38463618.26
4219.6,14744999.02,23916999.24,38661998.26
4219.7,14836479.02,24023899.24,38860378.26
4219.8,14927959.02,24130799.24,39058758.26
4219.9,15019439.02,24237699.24,39257138.26
4220,15110919.02,24344599.24,39455518.26
